id,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comments,mental_health_consequence
M665,30,Male,Italy,NA,No,No,No,Sometimes,More than 1000,No,No,Don't know,No,No,No,Yes,Very easy,No,Some of them,Some of them,No,No,Don't know,No,NA,No
M666,30,Male,Ireland,NA,No,No,Yes,Sometimes,26-100,Yes,Yes,No,No,Don't know,No,Don't know,Very difficult,Maybe,Some of them,No,No,No,No,No,NA,Maybe
M667,22,male,India,NA,Yes,No,No,NA,01-May,Yes,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,Maybe,Some of them,Some of them,Maybe,Maybe,Yes,Yes,NA,Maybe
M668,24,male,Ireland,NA,No,No,No,NA,More than 1000,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No,No,No,No,Don't know,No,NA,No
M669,26,m,Netherlands,NA,No,No,No,Never,26-100,No,Yes,No,No,No,No,Don't know,Don't know,Maybe,No,No,No,No,Don't know,No,NA,Maybe
M670,43,male,France,NA,No,No,No,NA,100-500,No,Yes,Don't know,No,No,No,Don't know,Don't know,No,Some of them,Yes,Maybe,Maybe,Don't know,No,NA,No
M671,26,Male,Russia,NA,No,No,No,Never,26-100,No,Yes,No,Not sure,No,Don't know,Don't know,Somewhat difficult,No,Some of them,No,No,Maybe,Don't know,No,NA,No
M672,23,Male,United States,NC,No,Yes,No,Sometimes,Jun-25,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No,No,No,Maybe,Don't know,No,NA,Maybe
M673,26,Man,Canada,NA,No,No,No,NA,100-500,Yes,Yes,Yes,Not sure,Don't know,Yes,Don't know,Somewhat easy,No,Some of them,Some of them,No,No,Yes,No,NA,No
M674,26,female,Israel,NA,No,Yes,No,Never,100-500,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,Some of them,No,No,No,Yes,No,NA,Maybe
M675,35,Male,Canada,NA,No,Yes,No,Sometimes,26-100,No,Yes,Don't know,No,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,No,No,No,No,NA,Maybe
M676,28,Male,United States,IL,No,No,Yes,Sometimes,26-100,Yes,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,Some of them,Yes,No,Maybe,Don't know,No,NA,No
M677,22,Male,India,NA,No,No,No,NA,26-100,No,Yes,No,No,No,No,Don't know,Don't know,Maybe,Some of them,Yes,Maybe,Maybe,Don't know,No,NA,Maybe
M678,29,Female,United States,OH,No,Yes,Yes,Rarely,Jun-25,No,Yes,Don't know,No,No,No,Don't know,Don't know,No,No,No,No,No,Don't know,No,NA,Yes
M679,29,Male,Germany,NA,Yes,No,No,NA,01-May,No,Yes,No,Yes,No,No,Yes,Very easy,No,Yes,Yes,Yes,Yes,Yes,No,NA,No
M680,45,Male,United States,VA,No,No,Yes,Often,01-May,Yes,Yes,Yes,Not sure,No,Yes,Don't know,Very easy,No,Yes,Yes,No,Maybe,Yes,No,NA,No
M681,33,male,Bulgaria,NA,No,No,Yes,Rarely,26-100,Yes,Yes,No,No,No,No,Don't know,Somewhat easy,No,Some of them,Some of them,No,Maybe,Don't know,Yes,NA,Maybe
M682,38,Male,United States,MN,No,No,Yes,Sometimes,More than 1000,No,No,Yes,Yes,Yes,Yes,Don't know,Don't know,No,Some of them,Yes,No,No,Don't know,No,NA,No
M683,19,Trans woman,United States,MO,No,Yes,Yes,Often,26-100,No,No,Don't know,Not sure,No,No,Don't know,Somewhat difficult,Maybe,No,No,No,Maybe,No,No,NA,Maybe
M684,29,female,Canada,NA,No,No,Yes,Rarely,More than 1000,Yes,No,Yes,Yes,Yes,Don't know,Yes,Somewhat easy,No,No,Yes,No,Maybe,Don't know,No,NA,No
M685,21,Female,United Kingdom,NA,No,No,No,NA,Jun-25,No,Yes,No,No,No,No,Don't know,Don't know,Maybe,Some of them,No,No,No,Don't know,No,NA,Yes
M686,23,Female,India,NA,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,No,No,No,No,Don't know,No,NA,Yes
M687,33,female,United States,NC,No,Yes,Yes,Rarely,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,Some of them,Yes,No,No,Yes,No,NA,No
M688,49,Male,United States,NY,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Not sure,Yes,Yes,Yes,Somewhat easy,Maybe,Some of them,Yes,No,No,Yes,No,NA,Maybe
M689,28,Male,United States,NM,No,No,No,NA,26-100,Yes,Yes,Don't know,No,No,No,Don't know,Don't know,No,Some of them,No,No,No,Don't know,No,NA,Maybe
M690,27,f,United Kingdom,NA,No,No,Yes,Sometimes,Jun-25,Yes,Yes,Don't know,Not sure,Yes,Don't know,Yes,Very easy,No,Yes,Yes,Maybe,Maybe,Yes,No,NA,No
M691,23,male,Canada,NA,No,No,Yes,Sometimes,Jun-25,No,Yes,Yes,No,No,No,Don't know,Somewhat easy,Maybe,Some of them,Some of them,No,No,Don't know,No,NA,Maybe
M692,29,M,Netherlands,NA,No,No,No,Never,01-May,Yes,Yes,No,No,No,No,Yes,Somewhat easy,No,Yes,Yes,No,Maybe,Yes,No,NA,No
M693,30,m,Germany,NA,No,No,No,NA,26-100,No,Yes,Don't know,No,No,Don't know,Yes,Somewhat easy,No,Some of them,No,Maybe,Maybe,Don't know,No,NA,No
M694,28,Female,Canada,NA,No,No,No,NA,More than 1000,No,Yes,Yes,Not sure,Don't know,Don't know,Don't know,Somewhat easy,No,Some of them,Yes,No,No,Don't know,No,I am a contractor so my lack of knowledge of workplace wellness stems directly from my lack of access to that material since I am not covered by it. I am aware that mental health services are available and am aware of a colleague who has taken a leave of absence to deal with mental health issues but am otherwise uninformed.,No
M695,32,Male,United Kingdom,NA,No,No,No,NA,Jun-25,No,Yes,No,No,No,No,Don't know,Don't know,No,No,No,No,Yes,No,No,NA,Yes
M696,32,Male,United Kingdom,NA,No,No,Yes,Sometimes,26-100,No,No,Yes,Yes,No,No,Yes,Very easy,No,No,Yes,No,No,Yes,No,NA,No
M697,37,Male,France,NA,No,No,No,NA,100-500,No,Yes,No,No,No,No,Don't know,Somewhat easy,Maybe,Some of them,Some of them,No,Maybe,No,No,NA,Maybe
M698,39,F,United States,TX,No,No,No,NA,More than 1000,Yes,No,No,Yes,No,No,Don't know,Very difficult,Maybe,No,No,No,Maybe,No,No,NA,Yes
M699,31,male,France,NA,No,No,No,NA,500-1000,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,Some of them,No,No,No,Yes,No,NA,Maybe
M700,29,Male,United States,SC,No,No,No,NA,Jun-25,No,Yes,No,No,No,Don't know,Don't know,Somewhat difficult,Maybe,Some of them,No,No,No,Don't know,No,NA,Maybe
M701,30,M,United States,FL,No,No,No,NA,100-500,No,No,Yes,No,No,Don't know,Don't know,Don't know,No,Some of them,Yes,No,No,Don't know,No,NA,Maybe
M702,33,M,United States,WA,Yes,Yes,Yes,Rarely,01-May,Yes,Yes,No,Yes,Yes,Yes,No,Very difficult,No,Yes,Yes,No,No,Yes,Yes,NA,No
M703,37,male,United States,CA,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,Don't know,Don't know,Yes,Don't know,No,Yes,Yes,No,No,Don't know,No,NA,Maybe
M704,23,Male,United States,OH,No,No,Yes,Often,26-100,No,No,Yes,Yes,Yes,No,Yes,Somewhat easy,No,Some of them,Yes,No,Maybe,Yes,No,NA,No
M705,43,M,United States,TN,No,Yes,Yes,Sometimes,26-100,No,No,Yes,Not sure,No,Yes,Don't know,Somewhat easy,No,No,No,No,No,No,No,NA,Yes
M706,32,Male,United Kingdom,NA,No,No,Yes,Rarely,100-500,No,Yes,Don't know,No,No,No,Don't know,Don't know,No,Yes,Yes,No,Maybe,No,Yes,NA,Maybe
M707,26,Male,United States,NY,No,No,No,Never,26-100,No,Yes,Don't know,Not sure,No,No,Don't know,Don't know,Yes,Some of them,No,No,No,No,No,NA,Yes
M708,32,Male,United States,NY,Yes,No,Yes,Sometimes,01-May,Yes,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,No,Yes,Yes,Yes,Yes,Don't know,No,NA,No
M709,37,F,United States,MO,No,No,No,NA,26-100,Yes,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,Some of them,No,No,No,Don't know,No,NA,Yes
M710,29,Male,United States,NY,No,No,Yes,Often,26-100,No,Yes,Yes,Yes,No,No,Yes,Very easy,No,Yes,Yes,Maybe,Maybe,Yes,No,NA,No
M711,34,Male,United Kingdom,NA,No,No,No,NA,Jun-25,No,Yes,No,No,No,No,Don't know,Somewhat easy,Maybe,Some of them,Yes,No,Maybe,Don't know,No,NA,Maybe
M712,27,male,France,NA,No,No,No,NA,Jun-25,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,Yes,Yes,No,No,Yes,No,NA,No
M713,30,male,United States,TN,No,Yes,No,Never,100-500,No,Yes,Don't know,No,No,Don't know,Don't know,Very easy,No,Some of them,Yes,No,Maybe,Don't know,No,NA,No
M714,29,Male,United States,CO,No,No,No,Never,Jun-25,No,Yes,Yes,Yes,No,Yes,Yes,Don't know,No,Some of them,Some of them,No,No,No,No,NA,Maybe
M715,32,Male,United States,PA,Yes,Yes,Yes,Sometimes,01-May,Yes,Yes,Yes,Yes,Don't know,Don't know,Don't know,Very difficult,Maybe,Some of them,No,No,No,No,No,NA,Yes
M716,-1726,male,United Kingdom,NA,No,No,Yes,Sometimes,26-100,No,No,No,No,No,No,Don't know,Somewhat difficult,No,No,No,No,Maybe,Don't know,No,NA,Yes
M717,25,Male,Germany,NA,No,No,No,NA,500-1000,No,Yes,Yes,Yes,Don't know,Yes,Yes,Somewhat easy,Maybe,Some of them,Yes,Yes,Yes,Yes,No,NA,Maybe
M718,37,male,United States,NY,Yes,No,No,NA,Jun-25,Yes,Yes,Yes,Yes,Yes,No,Yes,Somewhat easy,No,Yes,Yes,Maybe,Maybe,Yes,No,NA,No
M719,29,Male,Netherlands,NA,No,Yes,No,NA,Jun-25,No,Yes,No,No,No,No,Don't know,Very easy,No,Some of them,Yes,No,Maybe,Yes,No,NA,No
M720,27,Man,United States,MN,No,No,No,NA,26-100,No,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,No,Yes,Yes,No,No,Don't know,No,NA,No
M721,33,Male,United Kingdom,NA,No,No,No,NA,Jun-25,No,Yes,Don't know,No,No,No,Don't know,Don't know,No,Some of them,Some of them,No,Maybe,Don't know,No,NA,Maybe
M722,30,male,Canada,NA,No,Yes,Yes,Sometimes,More than 1000,No,No,Don't know,No,No,No,No,Very difficult,No,Some of them,No,No,Yes,No,Yes,NA,Yes
M723,29,male,Canada,NA,No,No,No,NA,01-May,Yes,Yes,No,Yes,No,No,Don't know,Somewhat difficult,Maybe,Yes,Yes,No,Maybe,Don't know,No,NA,Maybe
M724,25,Male,United States,MO,No,Yes,Yes,Never,Jun-25,Yes,Yes,Don't know,No,Yes,Don't know,Don't know,Don't know,No,Some of them,Yes,No,No,No,No,NA,Yes
M725,33,Male,United States,WY,No,Yes,Yes,Sometimes,01-May,No,No,No,Yes,No,No,Don't know,Don't know,No,Some of them,Yes,Maybe,Maybe,Don't know,No,NA,No
M726,31,Male,South Africa,NA,No,No,No,Never,100-500,Yes,Yes,No,No,No,No,No,Don't know,No,Some of them,Some of them,No,Maybe,No,No,Fully remote developer,No
M727,21,male,Germany,NA,No,No,No,Rarely,Jun-25,Yes,Yes,Don't know,No,No,No,Don't know,Very easy,Maybe,Some of them,Some of them,No,Maybe,No,No,NA,Maybe
M728,30,Male,Switzerland,NA,No,Yes,Yes,Sometimes,26-100,No,Yes,Don't know,No,No,No,No,Very difficult,Yes,No,No,No,No,No,No,NA,Yes
M729,29,Male,United States,MN,No,No,No,NA,More than 1000,No,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,Yes,Yes,No,No,No,No,NA,No
M730,43,Male,Croatia,NA,Yes,No,Yes,Sometimes,01-May,Yes,Yes,No,No,No,No,Yes,Very difficult,No,Yes,No,No,Maybe,No,Yes,NA,Yes
M731,37,m,United Kingdom,NA,No,No,Yes,Often,Jun-25,No,Yes,No,No,No,No,Don't know,Don't know,No,Yes,Yes,Maybe,Yes,No,No,NA,Yes
M732,24,Male,France,NA,No,No,No,NA,26-100,No,Yes,No,No,Yes,No,Don't know,Don't know,No,Yes,Some of them,No,No,Don't know,No,NA,Maybe
M733,29,Male,United States,MD,No,No,No,NA,Jun-25,Yes,Yes,Don't know,Not sure,No,No,Don't know,Very easy,No,Yes,Yes,No,No,Don't know,No,NA,No
M734,31,Male,United States,KY,No,No,No,NA,26-100,No,No,Yes,Yes,Yes,Yes,Yes,Don't know,No,Yes,Yes,No,No,Don't know,No,NA,No
M735,5,Male,United States,OH,No,No,No,NA,100-500,No,Yes,Don't know,Not sure,No,No,Don't know,Somewhat easy,No,Yes,Yes,No,No,Yes,No,We had a developer suffer from depression and pretty hard burnout but he refused treatment even when the company said we'd foot the bill. Eventually he had to be asked to resign which was a shame. I don't know if we have any specific programs for mental health but we're definitely on the lookout for those types of issues.,No
M736,33,Male,United Kingdom,NA,Yes,No,No,Never,100-500,No,No,No,Not sure,No,No,Don't know,Very easy,No,Yes,Some of them,No,Yes,No,No,NA,No
M737,43,male,United States,NY,No,No,No,NA,More than 1000,No,No,Yes,Yes,Don't know,Yes,Yes,Don't know,No,Some of them,Yes,No,Maybe,Don't know,No,NA,No
M738,33,Male,United Kingdom,NA,No,No,Yes,Sometimes,26-100,No,Yes,Don't know,Not sure,No,No,Don't know,Don't know,No,Some of them,No,No,Maybe,Don't know,No,NA,Maybe
M739,27,Male,United Kingdom,NA,No,No,No,NA,Jun-25,No,Yes,No,No,No,Yes,Yes,Don't know,No,Yes,Some of them,No,Yes,Yes,No,NA,Maybe
M740,36,Male,United States,TN,No,Yes,Yes,Sometimes,More than 1000,Yes,No,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,No,Maybe,Don't know,No,NA,Yes
M741,37,male,Australia,NA,No,Yes,Yes,Sometimes,26-100,No,Yes,No,Yes,No,No,Yes,Very easy,No,Some of them,Yes,No,Maybe,Yes,Yes,NA,No
M742,32,male,Belgium,NA,No,No,No,NA,Jun-25,No,Yes,No,Yes,No,No,Don't know,Very difficult,Maybe,No,No,No,No,No,No,NA,Yes
M743,39,Male,United Kingdom,NA,No,No,Yes,Sometimes,100-500,No,Yes,No,No,No,No,Don't know,Very easy,No,No,Some of them,No,Yes,Yes,No,NA,No
M744,31,Male,United States,TX,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,Don't know,Don't know,Somewhat easy,No,Some of them,Yes,Maybe,Yes,Don't know,No,NA,Maybe
M745,36,Male,United States,OH,No,No,Yes,Sometimes,100-500,Yes,Yes,Yes,Yes,No,No,Don't know,Very difficult,Maybe,Some of them,Some of them,Maybe,Maybe,Don't know,No,I am a 15 year vet of the industry and I get 2 weeks of combined sick and vacation time a year and I have children to fit into that too. I've had heart problems from the stress. Fuck everything about startup culture. ,Maybe
M746,30,Male,United States,TX,Yes,No,Yes,Sometimes,26-100,Yes,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,Yes,Don't know,No,NA,No
M747,28,male,Canada,NA,No,No,No,NA,Jun-25,No,Yes,Yes,Not sure,No,Don't know,Yes,Very easy,No,Some of them,Yes,Maybe,Maybe,Yes,No,NA,No
M748,32,Male,Italy,NA,No,No,No,NA,Jun-25,No,Yes,No,No,No,No,No,Somewhat difficult,No,Some of them,No,Maybe,Maybe,No,No,Italians are somewhat behind for what concerns mental health care in the workplace.  Physical health care is very much accepted with a doctor that certifies your ailment.  Mental health is treated quite differently I believe because most people are willing to admit that physical ailments should be covered while mental ailments are almost considered non-existent in most respects.  ,Maybe
M749,35,Male,United States,CA,No,Yes,Yes,Rarely,Jun-25,No,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,Some of them,Yes,No,No,Yes,No,Since I am the CEO of my startup some of the would you feel comfortable and do you know the policy questions are interesting.  Of course I feel comfortable since no one can fire me and I know the policies because I chose them!However now I am curious if my employees know just how supportive the company would be of their mental health needs and this survey is making me realize that we probably haven't done a great job communicating that to everyone.  Thanks for doing this.,No
M750,19,Male,Canada,NA,No,No,Yes,Sometimes,26-100,No,Yes,Don't know,Not sure,No,No,Don't know,Somewhat difficult,No,Some of them,Yes,No,Yes,Don't know,No,NA,No
M751,33,m,Norway,NA,No,Yes,No,NA,26-100,No,Yes,Yes,Yes,No,No,Don't know,Very easy,No,Some of them,Yes,No,No,Don't know,No,NA,No
M752,42,male,Germany,NA,No,No,No,NA,More than 1000,Yes,Yes,Don't know,Not sure,Yes,Yes,Yes,Very easy,No,Some of them,No,No,Maybe,Yes,No,NA,No
M753,37,Male,United States,MI,No,Yes,Yes,Sometimes,100-500,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,No,Don't know,No,NA,Maybe
M754,40,Male,Thailand,NA,Yes,No,No,Never,Jun-25,No,Yes,No,No,No,No,Yes,Very easy,No,Some of them,Yes,Maybe,Maybe,Yes,No,NA,No
M755,36,M,United States,CA,No,No,No,Never,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,Some of them,Yes,No,No,Yes,No,NA,No
M756,29,Female,United States,OR,No,Yes,Yes,Sometimes,26-100,Yes,No,Don't know,No,No,Don't know,Don't know,Don't know,No,Some of them,Yes,No,Maybe,Don't know,No,NA,Maybe
M757,38,f,United States,NC,No,Yes,Yes,Sometimes,26-100,No,No,Yes,Not sure,No,Don't know,Don't know,Don't know,No,No,No,No,No,Don't know,No,I work for the state so the health plan is large and cumbersome.  I believe it covers most medical as a state benefit but I haven't seen any promotion of it.  And it's not really the same as a tech company where I am.  We are an IT department but hardly run like any tech company around.,Maybe
M758,26,M,United States,CA,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,No,Yes,Don't know,Don't know,Somewhat difficult,Maybe,No,No,No,Maybe,No,No,NA,Yes
M759,34,male,Germany,NA,No,No,No,Rarely,26-100,No,Yes,No,No,No,No,Yes,Somewhat easy,Maybe,No,Some of them,Maybe,Maybe,Yes,No,NA,Maybe
M760,21,Male,United States,IL,No,No,Yes,Often,More than 1000,No,No,No,Yes,No,No,No,Don't know,No,Some of them,Some of them,No,Yes,No,Yes,I have Narcolepsy and have been fired from a job before for falling asleep standing up during a meeting. I was standing up in the back of the room so that i could pace and try to prevent myself from falling asleep. I still managed to fall asleep while standing and fell over against the wall. I was fired the next day. The worst part is this is a condition i had given months of notice about to my boss and i reminded her of it before the meeting. I worked at a hospital at the time. I would have thought that they would be more accommodating.,Yes
M761,31,Male,Canada,NA,Yes,Yes,No,Sometimes,01-May,Yes,Yes,No,Yes,No,No,Yes,Somewhat easy,No,No,No,No,No,Yes,No,I feel like most of my answers were useless due to answering that I am self-employed early on. Since my employer is me... my employer does/doesn't offer mental health benefits or would I be comfortable bring it up with 'them' doesn't make sense...,No
M762,37,Female,United States,CA,No,Yes,Yes,Rarely,26-100,No,No,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,Yes,Some of them,No,Maybe,Yes,No,NA,Maybe
M763,37,Male,Ireland,NA,No,Yes,Yes,Sometimes,01-May,No,Yes,No,No,No,No,Don't know,Very easy,No,Yes,Yes,Maybe,Maybe,Yes,No,NA,No
M764,38,Male,Ireland,NA,No,Yes,Yes,Sometimes,01-May,No,Yes,No,No,No,No,No,Very difficult,Yes,No,No,No,No,No,No,NA,Yes
M765,27,Female,United States,CA,No,No,Yes,Sometimes,100-500,No,Yes,Don't know,Not sure,Yes,Don't know,Don't know,Somewhat easy,No,Some of them,No,No,Maybe,No,No,NA,Yes
M766,39,Male,Netherlands,NA,Yes,No,No,NA,Jun-25,No,Yes,No,No,Yes,No,Yes,Somewhat easy,No,Some of them,Yes,Maybe,Maybe,Yes,No,NA,No
M767,33,Female,United States,AZ,Yes,Yes,Yes,Sometimes,01-May,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,Some of them,No,No,No,No,No,NA,Maybe
M768,27,Male,United Kingdom,NA,No,No,No,Never,26-100,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Somewhat easy,No,Some of them,No,Yes,Yes,Don't know,No,NA,No
M769,36,F,United States,CA,No,No,Yes,Never,Jun-25,Yes,Yes,Yes,No,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,No,No,No,No,NA,Maybe
M770,28,Male,United Kingdom,NA,No,No,No,Never,26-100,No,Yes,Don't know,Not sure,No,No,Don't know,Somewhat easy,No,Some of them,Yes,Maybe,Yes,Don't know,No,NA,No
M771,39,male,United Kingdom,NA,No,No,Yes,Sometimes,500-1000,No,No,Don't know,No,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,No,No,Don't know,No,NA,Maybe
M772,33,Male,United States,VA,Yes,Yes,Yes,Sometimes,01-May,Yes,Yes,No,Yes,No,No,Yes,Very easy,Maybe,Yes,Yes,No,No,Yes,No,My current work situation was constructed in part because of my mental health issues. One of the reasons I'm self employed is to give me the most flexibility for coping with my mental health issues.I have been removed from a client project in the past because of a mental health condition. This was while I was an employee for a large consulting company. ,Maybe
M773,32,Male,United Kingdom,NA,No,No,No,NA,More than 1000,No,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,Yes,Don't know,No,NA,Maybe
M774,28,Male,United Kingdom,NA,No,No,No,NA,More than 1000,No,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,Some of them,Some of them,Yes,Yes,No,No,NA,No
M775,37,Male,United Kingdom,NA,No,Yes,Yes,Rarely,Jun-25,No,Yes,No,No,No,No,Yes,Somewhat easy,No,Some of them,Yes,No,Maybe,No,Yes,Some of these questions are not really suitable for non US people.,Yes
M776,39,Male,Canada,NA,No,No,Yes,Sometimes,100-500,No,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,Some of them,Yes,No,Maybe,No,Yes,NA,Yes
M777,43,msle,United States,VA,No,No,No,Sometimes,Jun-25,Yes,Yes,Don't know,No,No,Don't know,Don't know,Don't know,No,No,No,No,Maybe,No,No,NA,Maybe
M778,32,Neuter,United Kingdom,NA,No,No,Yes,Sometimes,More than 1000,No,No,Don't know,No,Yes,Yes,Don't know,Don't know,No,Yes,Some of them,Yes,Yes,Yes,Yes,NA,No
M779,27,Female,United States,WA,No,No,No,NA,More than 1000,No,Yes,Don't know,Not sure,No,Yes,Don't know,Don't know,No,Some of them,Yes,No,No,Don't know,No,NA,Maybe
M780,31,Female,United Kingdom,NA,No,No,No,NA,Jun-25,No,Yes,Don't know,No,No,No,Don't know,Don't know,No,Yes,Yes,Maybe,Maybe,Don't know,No,NA,No
M781,43,Male,United Kingdom,NA,No,No,Yes,Never,26-100,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,No,Yes,Yes,Yes,Yes,Don't know,No,NA,No
M782,33,Male,United States,WI,No,No,Yes,Sometimes,Jun-25,Yes,Yes,No,Yes,No,No,Yes,Somewhat difficult,No,Yes,Yes,Yes,Yes,Don't know,No,NA,No
M783,34,male,United Kingdom,NA,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Don't know,Not sure,Don't know,Don't know,Yes,Very easy,No,Some of them,Yes,No,Maybe,Yes,No,NA,No
M784,33,M,United States,CA,Yes,No,No,NA,01-May,No,Yes,Don't know,No,No,No,Don't know,Don't know,No,Yes,Yes,No,Maybe,Don't know,No,NA,No
M785,25,Male,United States,CA,No,No,No,NA,Jun-25,No,Yes,Don't know,No,No,No,Don't know,Don't know,No,Some of them,Yes,No,No,Don't know,No,NA,No
M786,25,Male,United States,NE,No,Yes,Yes,Sometimes,More than 1000,No,No,Yes,Yes,Yes,Yes,Yes,Don't know,No,Some of them,Some of them,No,No,No,Yes,NA,Maybe
M787,32,Male,United Kingdom,NA,Yes,Yes,No,NA,01-May,No,Yes,No,Yes,No,No,Yes,Somewhat easy,No,No,Yes,No,Maybe,No,No,NA,No
M788,25,Male,United States,CO,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Yes,Don't know,Don't know,Yes,Don't know,No,Some of them,Some of them,No,Maybe,Don't know,No,NA,Maybe
M789,37,Male,Netherlands,NA,No,No,No,NA,100-500,Yes,No,Don't know,No,Don't know,Don't know,Don't know,Somewhat easy,No,Yes,Yes,No,No,Don't know,No,NA,Maybe
M790,39,m,Switzerland,NA,No,No,Yes,Never,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,Some of them,Some of them,No,Maybe,Yes,No,NA,No
M791,29,M,United Kingdom,NA,No,No,No,Rarely,100-500,No,Yes,Don't know,Not sure,No,No,Don't know,Somewhat easy,No,Some of them,Yes,No,Maybe,Don't know,Yes,NA,No
M792,33,Male,United States,NY,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,No,No,Don't know,No,NA,Maybe
M793,37,female,United States,TX,No,No,Yes,Often,Jun-25,Yes,Yes,Don't know,Not sure,No,No,Yes,Somewhat difficult,No,Some of them,Some of them,No,Yes,No,Yes,NA,Yes
M794,35,Female,United States,LA,No,No,Yes,Sometimes,100-500,No,No,Yes,No,No,No,Yes,Very difficult,Maybe,No,Some of them,No,Yes,No,Yes,I work for the state government. While things are slowly changing regarding covering mental health with state employees it's just not something that is acceptable in this kind of strict environment so I have to be careful about what I say and how I say it. I often take mental health days but have to call in with a physical illness because mental health problems are not acceptable excuses for using sick leave.,Yes
M795,22,Female,United States,WA,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Very difficult,Maybe,Some of them,Some of them,No,Maybe,No,Yes,NA,Yes
M796,38,Male,United States,MI,No,No,No,Never,26-100,No,Yes,Yes,Yes,No,No,Don't know,Somewhat easy,No,Some of them,Yes,No,Maybe,No,Yes,NA,Maybe
M797,32,Female,United States,CA,No,Yes,Yes,Often,100-500,No,Yes,Yes,No,No,Don't know,Don't know,Don't know,No,Some of them,Yes,No,No,Don't know,No,NA,Yes
M798,28,Male,Brazil,NA,No,No,No,NA,26-100,No,Yes,Don't know,No,No,No,Don't know,Don't know,No,Some of them,Yes,Maybe,Yes,No,Yes,NA,Maybe
M799,27,Male,Switzerland,NA,No,Yes,No,NA,26-100,No,Yes,No,No,No,No,Don't know,Don't know,No,Some of them,Yes,No,Yes,No,No,Thank you for your work what you do is important!,Maybe
M800,35,female,United States,CA,No,No,Yes,Sometimes,100-500,Yes,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,Some of them,No,No,Maybe,Yes,No,It might be safe to talk about it where I am now but I don't know for sure and I err on the side of being over cautious. Struggle with depression and anxiety which sometimes affects my productivity but I try to make up / cover up for it instead of being open about it.,Maybe
M801,29,Male,United States,MD,No,No,No,Never,100-500,No,No,Yes,Yes,Yes,No,Yes,Very easy,Maybe,Yes,Yes,No,Maybe,Don't know,No,NA,Yes
M802,23,Male,United States,CA,No,Yes,Yes,Sometimes,Jun-25,No,Yes,No,Yes,No,No,Don't know,Very easy,No,Some of them,Yes,Maybe,Maybe,Yes,No,NA,No
M803,39,M,United States,CT,No,No,No,NA,26-100,Yes,Yes,Yes,No,No,No,Don't know,Don't know,Maybe,No,No,No,No,Don't know,No,NA,Yes
